Date,Price
2024-03-11,275.0
2024-03-12,265.0
2024-03-13,225.0
2024-03-14,265.0
2024-03-15,225.0
2024-03-16,225.0
2024-03-17,225.0
2024-03-18,140.0
2024-03-19,115.0
2024-03-20,165.0
2024-03-21,170.0
2024-03-22,140.0
2024-03-23,140.0
2024-03-24,140.0
2024-03-25,110.0
2024-03-26,100.0
2024-03-27,110.0
2024-03-28,115.0
2024-03-29,115.0
2024-03-30,115.0
2024-03-31,115.0
2024-04-01,100.0
2024-04-02,100.0
2024-04-03,65.0
2024-04-04,55.0
2024-04-05,85.0
2024-04-06,85.0
2024-04-07,85.0
2024-04-08,110.0
2024-04-09,200.0
2024-04-10,185.0
2024-04-11,185.0
2024-04-12,185.0
2024-04-13,185.0
2024-04-14,185.0
2024-04-15,185.0
2024-04-16,165.0
2024-04-17,45.0
2024-04-18,75.0
2024-04-19,145.0
2024-04-20,145.0
2024-04-21,145.0
2024-04-22,140.0
2024-04-23,140.0
2024-04-24,135.0
2024-04-25,150.0
2024-04-26,140.0
2024-04-27,140.0
2024-04-28,140.0
2024-04-29,170.0
2024-04-30,200.0
2024-05-01,200.0
2024-05-02,140.0
2024-05-03,195.0
2024-05-04,195.0
2024-05-05,195.0
2024-05-06,215.0
2024-05-07,245.0
2024-05-08,190.0
2024-05-09,175.0
2024-05-10,175.0
2024-05-11,175.0
2024-05-12,175.0
2024-05-13,235.0
2024-05-14,290.0
2024-05-15,230.0
2024-05-16,295.0
2024-05-17,335.0
2024-05-18,335.0
2024-05-19,335.0
2024-05-20,325.0
2024-05-21,375.0
2024-05-22,500.0
2024-05-23,500.0
2024-05-24,500.0
2024-05-25,500.0
2024-05-26,500.0
2024-05-27,575.0
2024-05-28,625.0
2024-05-29,650.0
2024-05-30,625.0
2024-05-31,625.0
2024-06-01,625.0
2024-06-02,625.0
2024-06-03,400.0
2024-06-04,425.0
2024-06-05,375.0
2024-06-06,475.0
2024-06-07,480.0
2024-06-08,480.0
2024-06-09,480.0
2024-06-10,375.0
2024-06-11,475.0
2024-06-12,425.0
2024-06-13,475.0
2024-06-14,425.0
2024-06-15,425.0
2024-06-16,425.0
2024-06-17,425.0
2024-06-18,485.0
2024-06-19,525.0
2024-06-20,500.0
2024-06-21,500.0
2024-06-22,500.0
2024-06-23,500.0
2024-06-24,425.0
2024-06-25,590.0
2024-06-26,475.0
2024-06-27,475.0
2024-06-28,425.0
2024-06-29,425.0
2024-06-30,425.0
2024-07-01,525.0
2024-07-02,525.0
2024-07-03,450.0
2024-07-04,475.0
2024-07-05,390.0
2024-07-06,390.0
2024-07-07,390.0
2024-07-08,450.0
2024-07-09,435.0
2024-07-10,425.0
2024-07-11,375.0
2024-07-12,490.0
2024-07-13,490.0
2024-07-14,490.0
2024-07-15,450.0
2024-07-16,475.0
2024-07-17,575.0
2024-07-18,475.0
2024-07-19,515.0
2024-07-20,515.0
2024-07-21,515.0
2024-07-22,575.0
2024-07-23,595.0
2024-07-24,575.0
2024-07-25,575.0
2024-07-26,525.0
2024-07-27,525.0
2024-07-28,525.0
2024-07-29,475.0
2024-07-30,425.0
2024-07-31,290.0
2024-08-01,425.0
2024-08-02,375.0
2024-08-03,375.0
2024-08-04,375.0
2024-08-05,350.0
2024-08-06,350.0
2024-08-07,325.0
2024-08-08,475.0
2024-08-09,365.0
2024-08-10,365.0
2024-08-11,365.0
2024-08-12,395.0
2024-08-13,425.0
2024-08-14,385.0
2024-08-15,350.0
2024-08-16,375.0
2024-08-17,375.0
2024-08-18,375.0
2024-08-19,375.0
2024-08-20,375.0
2024-08-21,365.0
2024-08-22,375.0
2024-08-23,275.0
2024-08-24,275.0
2024-08-25,275.0
2024-08-26,375.0
2024-08-27,340.0
2024-08-28,275.0
2024-08-29,315.0
2024-08-30,250.0
2024-08-31,250.0
2024-09-01,250.0
2024-09-02,160.0
2024-09-03,185.0
2024-09-04,190.0
2024-09-05,210.0
2024-09-06,200.0
2024-09-07,200.0
2024-09-08,200.0
2024-09-09,200.0
2024-09-10,140.0
2024-09-11,130.0
2024-09-12,180.0
2024-09-13,175.0
2024-09-14,175.0
2024-09-15,175.0
2024-09-16,175.0
2024-09-17,175.0
2024-09-18,215.0
2024-09-19,225.0
2024-09-20,215.0
2024-09-21,215.0
2024-09-22,215.0
2024-09-23,475.0
2024-09-24,220.0
2024-09-25,200.0
2024-09-26,215.0
2024-09-27,250.0
2024-09-28,250.0
2024-09-29,250.0
2024-09-30,250.0
2024-10-01,195.0
2024-10-02,175.0
2024-10-03,240.0
2024-10-04,310.0
2024-10-05,310.0
2024-10-06,310.0
2024-10-07,290.0
2024-10-08,285.0
2024-10-09,275.0
2024-10-10,240.0
2024-10-11,220.0
2024-10-12,220.0
2024-10-13,220.0
2024-10-14,275.0
2024-10-15,290.0
2024-10-16,285.0
2024-10-17,285.0
2024-10-18,355.0
2024-10-19,355.0
2024-10-20,355.0
2024-10-21,325.0
2024-10-22,315.0
2024-10-23,250.0
2024-10-24,190.0
2024-10-25,290.0
2024-10-26,290.0
2024-10-27,290.0
2024-10-28,295.0
2024-10-29,250.0
2024-10-30,275.0
2024-10-31,275.0
2024-11-01,240.0
2024-11-02,240.0
2024-11-03,240.0
2024-11-04,185.0
2024-11-05,185.0
2024-11-06,225.0
2024-11-07,190.0
2024-11-08,290.0
2024-11-09,290.0
2024-11-10,290.0
2024-11-11,275.0
2024-11-12,285.0
2024-11-13,390.0
2024-11-14,390.0
2024-11-15,390.0
2024-11-16,390.0
2024-11-17,390.0
2024-11-18,448.0
2024-11-19,410.0
2024-11-20,475.0
2024-11-21,490.0
2024-11-22,340.0
2024-11-23,340.0
2024-11-24,340.0
2024-11-25,390.0
2024-11-26,440.0
2024-11-27,475.0
2024-11-28,375.0
2024-11-29,415.0
2024-11-30,415.0
2024-12-01,415.0
2024-12-02,575.0
2024-12-03,525.0
2024-12-04,575.0
2024-12-05,550.0
2024-12-06,450.0
2024-12-07,450.0
2024-12-08,450.0
2024-12-09,525.0
2024-12-10,475.0
2024-12-11,475.0
2024-12-12,425.0
2024-12-13,350.0
2024-12-14,350.0
2024-12-15,350.0
2024-12-16,200.0
2024-12-17,225.0
2024-12-18,225.0
2024-12-19,300.0
2024-12-20,300.0
2024-12-21,300.0
2024-12-22,300.0
2024-12-23,450.0
2024-12-24,310.0
2024-12-25,310.0
2024-12-26,475.0
2024-12-27,415.0
2024-12-28,415.0
2024-12-29,415.0
2024-12-30,350.0
2024-12-31,285.0
2025-01-01,250.0
2025-01-02,335.0
2025-01-03,205.0
2025-01-04,205.0
2025-01-05,205.0
2025-01-06,275.0
2025-01-07,315.0
2025-01-08,225.0
2025-01-09,240.0
2025-01-10,200.0
2025-01-11,200.0
2025-01-12,200.0
2025-01-13,200.0
2025-01-14,200.0
2025-01-15,245.0
2025-01-16,310.0
2025-01-17,305.0
2025-01-18,305.0
2025-01-19,305.0
2025-01-20,325.0
2025-01-21,415.0
2025-01-22,325.0
2025-01-23,475.0
2025-01-24,425.0
2025-01-25,425.0
2025-01-26,425.0
2025-01-27,475.0
2025-01-28,475.0
2025-01-29,475.0
2025-01-30,425.0
2025-01-31,575.0
2025-02-01,575.0
2025-02-02,575.0
2025-02-03,500.0
2025-02-04,500.0
2025-02-05,425.0
2025-02-06,450.0
2025-02-07,375.0
2025-02-08,375.0
2025-02-09,375.0
2025-02-10,400.0
2025-02-11,425.0
2025-02-12,425.0
2025-02-13,360.0
2025-02-14,350.0
2025-02-15,350.0
2025-02-16,350.0
2025-02-17,375.0
2025-02-18,280.0
2025-02-19,250.0
2025-02-20,215.0
2025-02-21,150.0
2025-02-22,150.0
2025-02-23,150.0
2025-02-24,175.0
2025-02-25,160.0
2025-02-26,160.0
2025-02-27,130.0
2025-02-28,125.0
2025-03-01,125.0
2025-03-02,125.0
2025-03-03,125.0
2025-03-04,155.0
2025-03-05,275.0
2025-03-06,325.0
2025-03-07,325.0
2025-03-08,325.0
2025-03-09,325.0
2025-03-10,400.0
2025-03-11,400.0
2025-03-12,375.0
2025-03-13,375.0
2025-03-14,275.0
2025-03-15,275.0
2025-03-16,275.0
2025-03-17,550.0
2025-03-18,475.0
2025-03-19,490.0
2025-03-20,425.0
2025-03-21,400.0
2025-03-22,400.0
2025-03-23,400.0
2025-03-24,525.0
2025-03-25,515.0
2025-03-26,450.0
2025-03-27,475.0
2025-03-28,515.0
2025-03-29,515.0
2025-03-30,515.0
2025-03-31,515.0
2025-04-01,575.0
2025-04-02,375.0
2025-04-03,475.0
2025-04-04,425.0
2025-04-05,425.0
2025-04-06,425.0
2025-04-07,340.0
2025-04-08,475.0
2025-04-09,475.0
2025-04-10,575.0
2025-04-11,625.0
2025-04-12,625.0
2025-04-13,625.0
2025-04-14,625.0
2025-04-15,625.0
2025-04-16,375.0
