No,Date,Price
421,25/7/2024,575
422,26/7/2024,525
423,27/7/2024,
424,28/7/2024,
425,29/7/2024,475
426,30/7/2024,425
427,31/7/2024,290
428,1/8/2024,425
429,2/8/2024,375
430,3/8/2024,
431,4/8/2024,
432,5/8/2024,350
433,6/8/2024,350
434,7/8/2024,325
435,8/8/2024,475
436,9/8/2024,365
437,10/8/2024,
438,11/8/2024,
439,12/8/2024,395
440,13/8/2024,425
441,14/8/2024,385
442,15/8/2024,350
443,16/8/2024,375
444,17/8/2024,
445,18/8/2024,
446,19/8/2024,
447,20/8/2024,375
448,21/8/2024,365
449,22/8/2024,375
450,23/8/2024,275
451,24/8/2024,
452,25/8/2024,
453,26/8/2024,375
454,27/8/2024,340
455,28/8/2024,275
456,29/8/2024,315
457,30/8/2024,250
458,31/8/2024,
459,1/9/2024,
460,2/9/2024,160
461,3/9/2024,185
462,4/9/2024,190
463,5/9/2024,210
464,6/9/2024,200
465,7/9/2024,
466,8/9/2024,
467,9/9/2024,200
468,10/9/2024,140
469,11/9/2024,130
470,12/9/2024,180
471,13/9/2024,175
472,14/9/2024,
473,15/9/2024,
474,16/9/2024,
475,17/9/2024,
476,18/9/2024,215
477,19/9/2024,225
478,20/9/2024,215
479,21/9/2024,
480,22/9/2024,
481,23/9/2024,475
482,24/9/2024,220
483,25/9/2024,200
484,26/9/2024,215
485,27/9/2024,250
486,28/9/2024,
487,29/9/2024,
488,30/9/2024,250
489,1/10/2024,195
490,2/10/2024,175
491,3/10/2024,240
492,4/10/2024,310
493,5/10/2024,
494,6/10/2024,
495,7/10/2024,290
496,8/10/2024,285
497,9/10/2024,275
498,10/10/2024,240
499,11/10/2024,220
500,12/10/2024,
501,13/10/2024,
502,14/10/2024,275
503,15/10/2024,290
504,16/10/2024,285
505,17/10/2024,
506,18/10/2024,355
507,19/10/2024,
508,20/10/2024,
509,21/10/2024,325
510,22/10/2024,315
511,23/10/2024,250
512,24/10/2024,190
513,25/10/2024,290
514,26/10/2024,
515,27/10/2024,
516,28/10/2024,295
517,29/10/2024,250
518,30/10/2024,275
519,31/10/2024,
520,1/11/2024,240
521,2/11/2024,
522,3/11/2024,
523,4/11/2024,185
524,5/11/2024,185
525,6/11/2024,225
526,7/11/2024,190
527,8/11/2024,290
528,9/11/2024,
529,10/11/2024,
530,11/11/2024,275
531,12/11/2024,285
532,13/11/2024,390
533,14/11/2024,
534,15/11/2024,
535,16/11/2024,
536,17/11/2024,
537,18/11/2024,448
538,19/11/2024,410
539,20/11/2024,475
540,21/11/2024,490
541,22/11/2024,340
542,23/11/2024,
543,24/11/2024,
544,25/11/2024,390
545,26/11/2024,440
546,27/11/2024,475
547,28/11/2024,375
548,29/11/2024,415
549,30/11/2024,
550,1/12/2024,
551,2/12/2024,575
552,3/12/2024,525
553,4/12/2024,575
554,5/12/2024,550
555,6/12/2024,450
556,7/12/2024,
557,8/12/2024,
558,9/12/2024,525
559,10/12/2024,475
560,11/12/2024,475
561,12/12/2024,425
562,13/12/2024,350
563,14/12/2024,
564,15/12/2024,
565,16/12/2024,200
566,17/12/2024,225
567,18/12/2024,225
568,19/12/2024,300
569,20/12/2024,300
570,21/12/2024,
571,22/12/2024,
572,23/12/2024,450
573,24/12/2024,310
574,25/12/2024,
575,26/12/2024,475
576,27/12/2024,415
577,28/12/2024,
578,29/12/2024,
579,30/12/2024,350
580,31/12/2024,285
581,1/1/2025,250
582,2/1/2025,335
583,3/1/2025,205
584,4/1/2025,
585,5/1/2025,
586,6/1/2025,275
587,7/1/2025,315
588,8/1/2025,225
589,9/1/2025,240
590,10/1/2025,200
591,11/1/2025,
592,12/1/2025,
593,13/1/2025,
594,14/1/2025,
595,15/1/2025,245
596,16/1/2025,310
597,17/1/2025,305
598,18/1/2025,
599,19/1/2025,
600,20/1/2025,325
601,21/1/2025,415
602,22/1/2025,325
603,23/1/2025,475
604,24/1/2025,425
605,25/1/2025,
606,26/1/2025,
607,27/1/2025,475
608,28/1/2025,475
609,29/1/2025,475
610,30/1/2025,425
611,31/1/2025,575
612,1/2/2025,
613,2/2/2025,
614,3/2/2025,500
615,4/2/2025,
616,5/2/2025,425
617,6/2/2025,450
618,7/2/2025,375
619,8/2/2025,
620,9/2/2025,
621,10/2/2025,400
622,11/2/2025,425
623,12/2/2025,
624,13/2/2025,360
625,14/2/2025,350
626,15/2/2025,
627,16/2/2025,
628,17/2/2025,375
629,18/2/2025,280
630,19/2/2025,250
631,20/2/2025,215
632,21/2/2025,150
633,22/2/2025,
634,23/2/2025,
635,24/2/2025,175
636,25/2/2025,160
637,26/2/2025,
638,27/2/2025,130
639,28/2/2025,125
640,1/3/2025,
641,2/3/2025,
642,3/3/2025,125
643,4/3/2025,155
644,5/3/2025,275
645,6/3/2025,325
646,7/3/2025,325
647,8/3/2025,
648,9/3/2025,
649,10/3/2025,400
650,11/3/2025,400
651,12/3/2025,375
652,13/3/2025,
653,14/3/2025,275
654,15/3/2025,
655,16/3/2025,
656,17/3/2025,550
657,18/3/2025,475
658,19/3/2025,490
659,20/3/2025,425
660,21/3/2025,400
661,22/3/2025,
662,23/3/2025,
663,24/3/2025,525
664,25/3/2025,515
665,26/3/2025,450
666,27/3/2025,475
667,28/3/2025,515
668,29/3/2025,
669,30/3/2025,
670,31/3/2025,
671,1/4/2025,575
672,2/4/2025,375
673,3/4/2025,475
674,4/4/2025,425
675,5/4/2025,
676,6/4/2025,
677,7/4/2025,340
678,8/4/2025,475
679,9/4/2025,475
680,10/4/2025,575
681,11/4/2025,625
682,12/4/2025,
683,13/4/2025,
684,14/4/2025,
685,15/4/2025,
686,16/4/2025,375
687,17/4/2025,275
688,18/4/2025,
689,19/4/2025,
690,20/4/2025,
691,21/4/2025,560
692,22/4/2025,325
693,23/4/2025,390
694,24/4/2025,375
695,25/4/2025,410
696,26/4/2025,
697,27/4/2025,
698,28/4/2025,525
699,29/4/2025,525
700,30/4/2025,575
701,1/5/2025,
702,2/5/2025,675
703,3/5/2025,
